SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
3699059,12.178571428571427,10.785714285714288,88.75,1.2142857142857142,9.892857142857142,395,3699059,36.0,1,19.0,5.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,12.4,36.0,0.0,1.0,53.0,55.0,108.0
3699062,17.483870967741936,15.32258064516129,86.67741935483869,2.4838709677419355,11.193548387096774,396,3699062,36.0,1,37.0,5.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,11.0,36.0,0.0,0.0,68.0,90.0,196.0
3699064,15.818181818181818,14.772727272727273,93.4090909090909,2.5,15.954545454545455,397,3699064,36.0,1,50.0,9.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,8.5,36.0,0.0,0.0,45.0,79.0,129.0
3699121,18.244897959183675,14.469387755102039,78.6938775510204,1.1428571428571428,6.469387755102041,398,3699121,36.0,1,33.0,4.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,11.0,36.0,0.0,0.0,91.0,106.0,100.0
3737003,166.17333333333337,161.69333333333333,96.61333333333332,72.81333333333333,39.74666666666667,400,3737003,37.0,1,399.6923076923077,103.15384615384615,38.769230769230774,18.04641057474624,20.101066897347074,24.568234505862414,24.3,37.0,21378.0,22966.0,23769.0,24901.0,21643.0
3737012,134.90666666666667,126.85333333333334,92.74666666666668,49.74666666666667,32.8,405,3737012,37.0,1,205.38461538461542,36.153846153846146,7.846153846153847,18.04641057474624,20.101066897347074,24.568234505862414,23.55384615384616,37.0,13020.0,11379.0,11394.0,10527.0,9388.0
3737021,74.75324675324677,71.53246753246755,94.44155844155844,30.168831168831172,35.311688311688314,412,3737021,37.0,1,143.38461538461542,26.384615384615387,6.846153846153847,18.04641057474624,20.101066897347074,24.568234505862414,22.7,37.0,8199.0,8612.0,8618.0,7026.0,5500.0
3737034,92.22388059701493,88.95522388059702,95.8358208955224,39.44776119402985,39.23880597014925,423,3737034,37.0,1,242.0769230769231,29.69230769230769,12.769230769230768,18.04641057474624,20.101066897347074,24.568234505862414,23.176923076923078,37.0,14439.0,14179.0,14573.0,12970.0,9615.0
3737037,163.84722222222226,159.55555555555554,96.95833333333331,84.2361111111111,47.0,425,3737037,37.0,1,389.6923076923077,55.153846153846146,39.07692307692308,18.04641057474624,20.101066897347074,24.986062620796076,24.96923076923077,37.0,22957.0,23744.0,24902.0,23884.0,18466.0
3737038,93.33333333333331,91.13888888888887,96.66666666666669,36.75,35.40277777777778,426,3737038,37.0,1,241.9230769230769,48.69230769230769,13.692307692307693,18.04641057474624,20.101066897347074,24.568234505862414,24.007692307692302,37.0,13168.0,13784.0,14858.0,14341.0,11906.0
3737040,166.73239436619718,160.50704225352112,95.88732394366195,89.60563380281691,49.92957746478874,428,3737040,37.0,1,404.07692307692315,60.07692307692307,24.76923076923077,18.04641057474624,20.101066897347074,24.568234505862414,24.815384615384627,37.0,23513.0,24284.0,25151.0,24943.0,19864.0
3838024,88.77941176470587,84.76470588235293,95.08823529411764,45.014705882352935,50.08823529411765,447,3838024,38.0,1,208.9230769230769,34.07692307692308,10.4372604140046,18.04641057474624,20.101066897347074,24.568234505862414,23.92307692307692,38.0,9755.0,11458.0,12649.0,13765.0,12973.0
3838031,91.80555555555556,85.91666666666669,92.25,41.29166666666666,43.66666666666666,453,3838031,38.0,1,237.6923076923077,50.39213547299963,13.782392026578071,18.04641057474624,20.101066897347074,24.568234505862414,23.300000000000004,38.0,12337.0,12887.0,13771.0,14277.0,13077.0
3838033,132.64179104477608,129.41791044776122,97.26865671641792,85.85074626865672,63.880597014925364,454,3838033,38.0,1,323.38461538461536,29.30769230769231,10.692307692307693,18.04641057474624,20.101066897347074,24.568234505862414,24.800000000000004,38.0,21712.0,18784.0,18981.0,19376.0,16667.0
3838042,153.51388888888889,146.95833333333334,95.05555555555556,93.70833333333331,59.194444444444436,459,3838042,38.0,1,195.84615384615384,26.76923076923077,7.026322514694607,18.04641057474624,20.101066897347074,24.568234505862414,25.45384615384615,38.0,9831.0,10226.0,11239.0,12858.0,12480.0
3838044,120.68493150684931,111.08219178082192,90.27397260273972,52.0,39.315068493150676,461,3838044,38.0,1,166.0,36.38962877687155,14.320853565039613,18.04641057474624,20.101066897347074,24.568234505862414,24.476923076923075,38.0,10769.0,7872.0,8387.0,9964.0,10981.0
3838045,166.82191780821918,159.3835616438356,94.73972602739723,108.56164383561644,62.61643835616438,462,3838045,38.0,1,228.38461538461542,27.46404515766655,7.397776641962688,18.04641057474624,20.101066897347074,24.568234505862414,25.43846153846153,38.0,12731.0,11806.0,12676.0,13815.0,13906.0
3838058,106.046875,99.75,93.40625,50.234375,46.671875,473,3838058,38.0,1,238.46153846153842,48.153846153846146,15.628545872731918,18.04641057474624,20.101066897347074,24.568234505862414,24.461538461538453,38.0,13475.0,14000.0,14469.0,16230.0,13085.0
3838062,161.53125,156.484375,97.078125,94.265625,56.828125,476,3838062,38.0,1,380.1538461538461,51.31521239607657,18.57794531050345,18.04641057474624,20.101066897347074,24.568234505862414,25.44615384615385,38.0,25329.0,23355.0,24095.0,22471.0,19148.0
